junction	junction.annotated	junction.log.mean	junction.logFC	junction.pvalue	junction.fdr	counts.col_16	counts.col_23	junction.cluster	junction.participation	cluster.size	cluster.pvalue	cluster.fdr	bin	bin.pvalue	bin.fdr
2.199956.200039	Yes	7.73245011304371	0.00281525167006433	0.976977764021343	1	223.333333333333	202	28044	1	2	0.976977764021343	1	AT2G01450:I001	0.00049225784226764	0.127400397825496
2.199956.200057	No	-Inf	-0.158482882159639	1	1	0	0	28044	0	2	0.976977764021343	1	AT2G01450:I001	0.00049225784226764	0.127400397825496
2.1020258.1020970	No	-0.584962500721156	-1.22731592682711	0.334864403900583	1	0.333333333333333	1	6851	0.00410396716826265	2	0.334751176708107	0.862129502122831	AT2G03350:I002	2.29404215724916e-07	0.000422586855223431
2.1020269.1020970	Yes	8.11287385724122	0.00195524713368828	0.983343993965358	1	311	242.666666666667	6851	0.998929336188437	2	0.334751176708107	0.862129502122831	AT2G03350:I002	2.29404215724916e-07	0.000422586855223431
2.1105774.1105866	Yes	7.52617316951355	0.00313471598397187	0.979195222975815	1	169.666666666667	199	6867	0.973231357552581	2	0.828354091500179	1	AT2G03640:I007	0.000582530076726978	0.138620025659321
2.1105777.1105866	Yes	2.4594316186373	-0.105569199806778	0.829581007511929	1	4.66666666666667	6.33333333333333	6867	0.0308441558441558	2	0.828354091500179	1	AT2G03640:I007	0.000582530076726978	0.138620025659321
2.1106151.1106239	Yes	7.09978611970047	0.0472249399972462	0.672303176818567	1	139.666666666667	134.666666666667	6868	0.532401524777637	8	0.428535408550286	0.941777543231759	AT2G03640:I008	0.000884380146433426	0.178447627510824
2.1106151.1106730	No	-Inf	-0.0649360450955285	1	1	0	0	6868	0	8	0.428535408550286	0.941777543231759	AT2G03640:I009	4.3424821122358e-06	0.00523031928193668
2.1106151.1106730	No	-Inf	-0.0649360450955285	1	1	0	0	6868	0	8	0.428535408550286	0.941777543231759	AT2G03640:I008	0.000884380146433426	0.178447627510824
2.1106372.1106730	No	-1.58496250072116	-1.87719424039062	0.154224136190495	1	0	0.666666666666667	6868	0.00251889168765743	8	0.428535408550286	0.941777543231759	AT2G03640:I009	4.3424821122358e-06	0.00523031928193668
2.1106390.1106730	No	-1.58496250072116	1.68975522539561	0.169162312274	1	0.666666666666667	0	6868	0.00254129606099111	8	0.428535408550286	0.941777543231759	AT2G03640:I009	4.3424821122358e-06	0.00523031928193668
2.1106420.1106730	No	4.66296501272243	-0.379081044996633	0.0987548627228705	1	20.6666666666667	30	6868	0.113350125944584	8	0.428535408550286	0.941777543231759	AT2G03640:I009	4.3424821122358e-06	0.00523031928193668
2.1106429.1106730	No	-Inf	-0.0649360450955285	1	1	0	0	6868	0	8	0.428535408550286	0.941777543231759	AT2G03640:I009	4.3424821122358e-06	0.00523031928193668
2.1106431.1106730	Yes	6.64144969206763	0.0262254082886155	0.835498293066224	1	100.666666666667	99	6868	0.383735705209657	8	0.428535408550286	0.941777543231759	AT2G03640:I009	4.3424821122358e-06	0.00523031928193668
2.1106441.1106730	No	-1	0.442844510778656	0.712882914432279	1	0.666666666666667	0.333333333333333	6868	0.00254129606099111	8	0.428535408550286	0.941777543231759	AT2G03640:I009	4.3424821122358e-06	0.00523031928193668
2.1154105.1154201	No	1.41503749927884	-0.0821346010696224	0.90875341576217	1	2.33333333333333	3	6877	0.0378151260504202	2	0.900369158655171	1	AT2G03780:I006	0.000488937496748489	0.127038182650652
